#MJD mag magerr flux fluxerr
59079.2129286111 2.6391243364 0.015564539 0.0879731749 0.0012611789
59079.2129401924 2.6328202299 0.0155248361 0.088485459 0.0012652871
59079.2129517737 2.6356692435 0.0155985654 0.0882535741 0.0012679646
59079.212963355 2.6327790122 0.0155324209 0.0884888182 0.0012659534
59079.2129749363 2.6255396917 0.0153694767 0.089080803 0.0012610531
59079.2129865175 2.6412096152 0.015510725 0.0878043746 0.0012544068
59079.2129980988 2.6260112792 0.0153330045 0.0890421193 0.0012575142
59079.2130096801 2.6458639353 0.0156401687 0.0874287815 0.0012594648
59079.2130212614 2.6366777954 0.0155095552 0.0881716325 0.0012595586
59079.2130328427 2.6612997157 0.0156695828 0.0861946109 0.001244021
59079.213044424 2.6313579063 0.0154330862 0.0886047159 0.0012595047
59079.2130560052 2.6277255338 0.0154013742 0.0889016428 0.0012611287
59079.2130675865 2.6545753308 0.0156345575 0.0867301041 0.0012489516
59079.2130791678 2.6422821158 0.0155377535 0.0877176834 0.0012553521
59079.2130907491 2.6225808664 0.0153279376 0.0893238952 0.0012610768
59079.2131023304 2.6530091217 0.0157148179 0.0868553053 0.0012571754
59079.2131139117 2.6578522954 0.0156140331 0.0864687303 0.0012435531
59079.2131254929 2.6488276686 0.0155745411 0.0871904527 0.0012507611
59079.2131370742 2.6589085609 0.0156375011 0.0863846495 0.0012442112
59079.2131486555 2.6602028062 0.0155587606 0.0862817366 0.0012364713
59079.2131602368 2.6515037986 0.0156683741 0.0869758097 0.001255199
59079.2131718181 2.6588919048 0.0157480767 0.0863859748 0.0012530284
59079.2131833994 2.6560024256 0.0156779792 0.0866161807 0.0012507752
59079.2131949807 2.6374095216 0.0153711646 0.0881122297 0.0012474787
59079.2132065619 2.6653778023 0.0157362851 0.0858714664 0.0012446328
59079.2132181432 2.616204439 0.0151907412 0.0898500296 0.0012571507
59079.2132297245 2.6276102663 0.0154396578 0.0889110816 0.0012643978
59079.2132413058 2.6594583738 0.0157736837 0.0863409157 0.0012544112
59079.2132528871 2.6398207714 0.0154520663 0.0879167634 0.0012512625
59079.2132644684 2.6661291793 0.0157152772 0.0858120601 0.0012421114
59079.2132760496 2.6466451274 0.0155485419 0.0873658988 0.0012511857
59079.2132876309 2.6690716225 0.0157226072 0.0855798165 0.0012393275
59079.2132992122 2.6560490109 0.0157516923 0.0866124644 0.0012566021
59079.2133107935 2.6426648182 0.0155001383 0.08768677 0.0012518717
59079.2133223748 2.6747041112 0.0157615439 0.0851370025 0.0012359681
59079.2133339561 2.6520721365 0.0156025006 0.0869302934 0.0012492677
59079.2133455374 2.6572804021 0.0156500778 0.0865142882 0.0012470805
59079.2133571186 2.6485916192 0.015505795 0.0872094108 0.001245511
59079.2133686999 2.6686949947 0.0157220846 0.0856095082 0.0012397162
59079.2133802812 2.6803272634 0.0158380587 0.0846972081 0.0012355525
59079.2133918625 2.6632337837 0.0156408505 0.0860412055 0.0012395299
