#MJD mag magerr flux fluxerr
59079.212973206 -0.3171063143 0.0317657727 1.3391910114 0.0391824973
59079.2129847937 -0.324386265 0.0322523361 1.3482005687 0.0400503065
59079.2129963814 -0.3441792287 0.0320645488 1.373003649 0.0405496385
59079.2130079691 -0.3636511198 0.0324879627 1.3978496046 0.0418285768
59079.2130195568 -0.3333638632 0.0321821231 1.3593946153 0.0402949294
59079.2130311444 -0.3315440163 0.0316912843 1.3571179867 0.0396139006
59079.2130427321 -0.3268599056 0.0316931098 1.3512756855 0.0394456375
59079.2130543198 -0.3604405058 0.0319908475 1.3937221504 0.0410669179
59079.2130659075 -0.3447366609 0.0321553664 1.3737087494 0.0406853718
59079.2130774952 -0.3777458867 0.0319969045 1.4161144511 0.0417346217
59079.2130890829 -0.3437854889 0.0317435689 1.3725058226 0.0401291638
59079.2131006706 -0.3592638532 0.0315439025 1.3922125401 0.0404493107
59079.2131122582 -0.3473633208 0.0319296816 1.3770361081 0.0404976739
59079.2131238459 -0.3680897524 0.0320478565 1.4035758948 0.0414309652
59079.2131354336 -0.3667539985 0.0318120628 1.4018501724 0.0410755694
59079.2131470213 -0.3530457254 0.0313636534 1.3842619781 0.0399884986
59079.213158609 -0.3086272945 0.0317057219 1.3287733761 0.0388041993
59079.2131701967 -0.332158858 0.0319625997 1.357886727 0.0399756746
59079.2131817844 -0.3068821565 0.0314892857 1.3266393123 0.0384774103
59079.213193372 -0.3535900126 0.0318413089 1.3849560923 0.0406178638
59079.2132049597 -0.3633234312 0.0319201055 1.39742778 0.0410850532
59079.2132165474 -0.3189226194 0.0320754372 1.3414331907 0.0396307047
59079.2132281351 -0.3442190113 0.0312191652 1.3730539584 0.0394819917
59079.2132397228 -0.3210254589 0.0313408724 1.3440337783 0.0387981866
59079.2132513105 -0.3533978672 0.0314372738 1.3847110149 0.0400953664
59079.2132628981 -0.320297278 0.031878415 1.3431326648 0.0394371746
59079.2132744858 -0.3343448495 0.0325002697 1.3606234129 0.0407300616
59079.2132860735 -0.3483567684 0.0322871845 1.3782966715 0.0409885963
59079.2132976612 -0.3323343597 0.0325171344 1.3581062376 0.0406758065
59079.2133092489 -0.3342488034 0.0322377772 1.3605030551 0.0403975264
59079.2133208366 -0.3450868213 0.0315738726 1.3741518552 0.0399625086
59079.2133324243 -0.3463352257 0.0316254503 1.3757327953 0.040073841
59079.2133440119 -0.3579014774 0.0321726102 1.3904666951 0.0412037792
59079.2133555996 -0.3566568314 0.0314787387 1.3888736312 0.0402689419
59079.2133671873 -0.3666949334 0.0321185982 1.4017739125 0.0414691103
59079.213378775 -0.3502359258 0.0320492796 1.3806842487 0.0407570559
59079.2133903627 -0.3377137908 0.0322740377 1.3648518612 0.0405722396
59079.2134019504 -0.4150495066 0.0328044829 1.4656146674 0.0442836247
59079.2134135381 -0.3529103012 0.0323747995 1.3840893294 0.0412725565
59079.2134251257 -0.3364889149 0.0318748512 1.3633129686 0.0400252353
59079.2134367134 -0.3456753662 0.0320911174 1.3748969434 0.0406391998
59079.2134483011 -0.3393668237 0.0318117029 1.3669314302 0.0400519633
59079.2134598888 -0.3440095656 0.0316330129 1.3727891128 0.0399976565
59079.2134714765 -0.3563670526 0.0317640154 1.3885029955 0.0406230363
59079.2134830642 -0.328458848 0.031837799 1.3532671487 0.0396841185
59079.2134946519 -0.3336078328 0.0318537097 1.3597001113 0.0398926892
59079.2135062395 -0.3489868642 0.0317724548 1.3790967839 0.0403585616
59079.2135178272 -0.3637074779 0.0315115277 1.3979221657 0.040573513
59079.2135294149 -0.3443039482 0.0318447172 1.3731613763 0.0402762602
59079.2135410026 -0.3277874244 0.0318507923 1.3524305416 0.0396757708
59079.2135525903 -0.3310235561 0.0317060063 1.3564675924 0.0396133095
59079.213564178 -0.3612192307 0.0318254531 1.3947221312 0.0408839125
59079.2135757657 -0.3493563837 0.0318382606 1.3795662256 0.040455917
59079.2135873533 -0.3369937212 0.0318240077 1.3639469798 0.0399799753
59079.213598941 -0.304912012 0.0312488745 1.324234215 0.0381144227
59079.2136105287 -0.3172524459 0.0316408892 1.3393712683 0.039033709
59079.2136221164 -0.3461224319 0.0317900949 1.3754631913 0.0402745744
59079.2136337041 -0.3472508729 0.0312417631 1.3768934982 0.0396210559
59079.2136452918 -0.3417031949 0.0314464687 1.3698760662 0.0396774107
59079.2136568794 -0.3273594877 0.0317579821 1.3518975938 0.0395445699
59079.2136684671 -0.3074965563 0.0312129891 1.3273902475 0.0381613865
59079.2136800548 -0.357413772 0.031058598 1.389842247 0.0397591891
59079.2136916425 -0.3523326006 0.0313363106 1.3833530764 0.0399274032
59079.2137032302 -0.3178606126 0.0312620203 1.3401217168 0.0385879269
59079.2137148179 -0.3522952634 0.0315474953 1.3833055053 0.0401951036
59079.2137264056 -0.3458011185 0.0315799513 1.3750561962 0.0399965071
59079.2137379932 -0.3232910798 0.0313652413 1.3468413207 0.0389094621
59079.2137495809 -0.3259400508 0.031638881 1.3501313457 0.039344796
59079.2137611686 -0.3472797698 0.0316815908 1.3769301447 0.0401799183
59079.2137727563 -0.3553407505 0.031877992 1.3871911205 0.0407302822
59079.213784344 -0.3124889144 0.0314957992 1.3335078167 0.0386846223
59079.2137959317 -0.3487656671 0.0311016511 1.378815849 0.0394984337
59079.2138075194 -0.3192973148 0.0316738317 1.3418962088 0.0391480102
59079.213819107 -0.3737946055 0.0316565036 1.4109702024 0.0411406312
59079.2138306947 -0.3418482499 0.0315952842 1.3700590947 0.0398705043
59079.2138422824 -0.3434256833 0.0315060277 1.3720510589 0.0398156753
59079.2138538701 -0.344234722 0.031453851 1.3730738268 0.0397793678
59079.2138654578 -0.3461151256 0.0317135436 1.3754539354 0.0401773218
59079.2138770455 -0.3513140535 0.0316343876 1.3820559386 0.0402694052
59079.2138886332 -0.3480789968 0.0315784479 1.3779440972 0.0400785999
59079.2139002208 -0.3529963564 0.0315766071 1.3841990363 0.0402581829
59079.2139118085 -0.3211347743 0.0313610429 1.3441691068 0.0388270654
59079.2139233962 -0.3440759174 0.0316060635 1.3728730096 0.0399660233
59079.2139349839 -0.3441415704 0.031148471 1.3729560279 0.0393897771
59079.2139465716 -0.3442179386 0.0313528627 1.3730526019 0.0396510359
59079.2139581593 -0.3142276491 0.0311567873 1.3356450521 0.038329565
59079.2139697469 -0.3201313292 0.031646776 1.3429273901 0.0391446277
59079.2139813346 -0.3403382526 0.0316492268 1.3681549972 0.0398830689
59079.2139929223 -0.3455609553 0.0317153402 1.3747520694 0.0401590951
59079.21400451 -0.3392115965 0.0317268645 1.3667360147 0.0399394385
59079.2140160977 -0.3013466217 0.031458014 1.3198927662 0.0382437185
